Product Name,Product Type,Unit of Measure,Delivery Method
200mm Series 390L x 190W x 190H Wash Out Block,blocks,pc,Ex-bin
200mm Series 190L x 190W x 190H 1/2 Block,blocks,pc,Ex-bin
200mm Series 390L x 195W x 40H Capping Block,blocks,pc,Ex-bin
150mm Series - 190L x 140W x 190H Half Block,blocks,pc,Ex-bin
150mm Series - 390L x 140W x 190H Standard Block,blocks,pc,Ex-bin
100mm Series - 390L x 90W x 190H Standard Block,blocks,pc,Ex-bin
Split Face Full Block 200mm Series 390L x 190W x 190H,blocks,pc,Ex-bin
Split Face Corner 200mm Series 390L x 190W x 190H,blocks,pc,Ex-bin
Split Face Half Block 200mm Series 190L x 190W x 190H,blocks,pc,Ex-bin
Coloured Cap 200mm Series 390L x 195W x 40H,blocks,pc,Ex-bin
"Arrinastone Body 300L x 200W x 150H - Charcoal, Nougat",bricks,pc,Ex-bin
"Arrinastone Corner - 350L x 200W x 150H - Charcoal, Nougat (set = 1LH & 1 RH)",bricks,pc,Ex-bin
"SydneyStone Wall Block 390L x 245W x 200H - Charcoal, Nougat",bricks,pc,Ex-bin
"SydneyStone Capping Block 390L x 245W x 90H - Charcoal, Nougat",bricks,pc,Ex-bin
"SydneyStone Corner Block 340L x 140W x 200H - Charcaol, Nougat",bricks,pc,Ex-bin
Common Brick - 230L x 110W x 76H Extruded Scratch Face Common,bricks,pc,Ex-bin
"Blue Metal (5, 10, 20, 40mm) 1 tonne",quarry,tonne,Ex-bin
"Blue Metal (5, 10, 20, 40mm) 3/4 tonne",quarry,tonne,Ex-bin
"Blue Metal (5, 10, 20, 40mm) 1/2 tonne",quarry,tonne,Ex-bin
"Blue Metal (5, 10, 20, 40mm) 1/4 tonne",quarry,tonne,Ex-bin
"Blue Metal (5, 10, 20, 40mm) 20kg",quarry,bag,Ex-bin
Road Base (20mm) 1 tonne,quarry,tonne,Ex-bin
Road Base (20mm) 3/4 tonne,quarry,tonne,Ex-bin
Road Base (20mm) 1/2 tonne,quarry,tonne,Ex-bin
Road Base (20mm) 1/4 tonne,quarry,tonne,Ex-bin
Road Base (20mm) 20kg,quarry,bag,Ex-bin
Metal Dust 1 tonne,quarry,tonne,Ex-bin
Metal Dust 3/4 tonne,quarry,tonne,Ex-bin
Metal Dust 1/2 tonne,quarry,tonne,Ex-bin
Metal Dust 1/4 tonne,quarry,tonne,Ex-bin
Metal Dust 20kg,quarry,bag,Ex-bin
Crushed Sandstone (75mm minus) 1 tonne,quarry,tonne,Ex-bin
Crushed Sandstone (75mm minus) 3/4 tonne,quarry,tonne,Ex-bin
Crushed Sandstone (75mm minus) 1/2 tonne,quarry,tonne,Ex-bin
Crushed Sandstone (75mm minus) 1/4 tonne,quarry,tonne,Ex-bin
Basalt (63mm) 1 tonne,quarry,tonne,Ex-bin
Basalt (63mm) 3/4 tonne,quarry,tonne,Ex-bin
Basalt (63mm) 1/2 tonne,quarry,tonne,Ex-bin
Basalt (63mm) 1/4 tonne,quarry,tonne,Ex-bin
Basalt (63mm) 20kg,quarry,bag,Ex-bin
Basalt (90-250mm) 1 tonne,quarry,tonne,Ex-bin
Basalt (90-250mm) 3/4 tonne,quarry,tonne,Ex-bin
Basalt (90-250mm) 1/2 tonne,quarry,tonne,Ex-bin
Basalt (90-250mm) 1/4 tonne,quarry,tonne,Ex-bin
DGB Road Base (20mm),quarry,tonne,Ex-bin
DGB Road Base (20mm),quarry,tonne,Ex-bin
DGB Road Base (20mm),quarry,tonne,Ex-bin
DGB Road Base (20mm),quarry,tonne,Ex-bin
Recycled Roadbase 1 tonne,recycled,tonne,Ex-bin
Recycled Roadbase 3/4 tonne,recycled,tonne,Ex-bin
Recycled Roadbase 1/2 tonne,recycled,tonne,Ex-bin
Recycled Roadbase 1/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 10mm 1 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 10mm 3/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 10mm 1/2 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 10mm 1/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 10mm 20kg,recycled,bag,Ex-bin
Recycled Concrete Agg 20mm 1 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 20mm 3/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 20mm 1/2 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 20mm 1/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 20mm 20kg,recycled,bag,Ex-bin
Recycled Concrete Agg 40-70mm 1 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 40-70mm 3/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 40-70mm 1/2 tonne,recycled,tonne,Ex-bin
Recycled Concrete Agg 40-70mm 1/4 tonne,recycled,tonne,Ex-bin
Rotor Mill (Rec Asphalt) 1 tonne,recycled,tonne,Ex-bin
Rotor Mill (Rec Asphalt) 3/4 tonne,recycled,tonne,Ex-bin
Rotor Mill (Rec Asphalt) 1/2 tonne,recycled,tonne,Ex-bin
Rotor Mill (Rec Asphalt) 1/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Dust 1 tonne,recycled,tonne,Ex-bin
Recycled Concrete Dust 3/4 tonne,recycled,tonne,Ex-bin
Recycled Concrete Dust 1/2 tonne,recycled,tonne,Ex-bin
Recycled Concrete Dust 1/4 tonne,recycled,tonne,Ex-bin
Fill Sand 1 tonne,sand,tonne,Ex-bin
Fill Sand 3/4 tonne,sand,tonne,Ex-bin
Fill Sand 1/2 tonne,sand,tonne,Ex-bin
Fill Sand 1/4 tonne,sand,tonne,Ex-bin
Paving Sand 1 tonne,sand,tonne,Ex-bin
Paving Sand 3/4 tonne,sand,tonne,Ex-bin
Paving Sand 1/2 tonne,sand,tonne,Ex-bin
Paving Sand 1/4 tonne,sand,tonne,Ex-bin
Paving Sand 20kg,sand,bag,Ex-bin
